unit_id,kind,descendant_count,upper_flow,label,subtree_size,split_a,split_b,copy_index,left_flow,right_flow,down_flow,router_count,router_layer,router_wire,router_width,notes
LEAF_0000,taxon,1,1,leaf_1,1,,,,,,,,,,,Unique physical taxon unit; exactly one unit for this label.
LEAF_0022,taxon,1,1,leaf_23,1,,,,,,,,,,,Unique physical taxon unit; exactly one unit for this label.
LEAF_0023,taxon,1,1,leaf_24,1,,,,,,,,,,,Unique physical taxon unit; exactly one unit for this label.
LEAF_0024,taxon,1,1,leaf_25,1,,,,,,,,,,,Unique physical taxon unit; exactly one unit for this label.
LEAF_0025,taxon,1,1,leaf_26,1,,,,,,,,,,,Unique physical taxon unit; exactly one unit for this label.
LEAF_0026,taxon,1,1,leaf_27,1,,,,,,,,,,,Unique physical taxon unit; exactly one unit for this label.
LEAF_0027,taxon,1,1,leaf_28,1,,,,,,,,,,,Unique physical taxon unit; exactly one unit for this label.
LEAF_0028,taxon,1,1,leaf_29,1,,,,,,,,,,,Unique physical taxon unit; exactly one unit for this label.
LEAF_0029,taxon,1,1,leaf_30,1,,,,,,,,,,,Unique physical taxon unit; exactly one unit for this label.
R_m0001_L001_W00000,router,1,1,,1,,,,,,1,1,1,0,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00001,router,1,1,,1,,,,,,1,1,1,1,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00002,router,1,1,,1,,,,,,1,1,1,2,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00003,router,1,1,,1,,,,,,1,1,1,3,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00004,router,1,1,,1,,,,,,1,1,1,4,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00005,router,1,1,,1,,,,,,1,1,1,5,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00006,router,1,1,,1,,,,,,1,1,1,6,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00007,router,1,1,,1,,,,,,1,1,1,7,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00008,router,1,1,,1,,,,,,1,1,1,8,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00009,router,1,1,,1,,,,,,1,1,1,9,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00010,router,1,1,,1,,,,,,1,1,1,10,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00011,router,1,1,,1,,,,,,1,1,1,11,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00012,router,1,1,,1,,,,,,1,1,1,12,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00013,router,1,1,,1,,,,,,1,1,1,13,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00014,router,1,1,,1,,,,,,1,1,1,14,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00015,router,1,1,,1,,,,,,1,1,1,15,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00016,router,1,1,,1,,,,,,1,1,1,16,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00017,router,1,1,,1,,,,,,1,1,1,17,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00018,router,1,1,,1,,,,,,1,1,1,18,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00019,router,1,1,,1,,,,,,1,1,1,19,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00020,router,1,1,,1,,,,,,1,1,1,20,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00021,router,1,1,,1,,,,,,1,1,1,21,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00022,router,1,1,,1,,,,,,1,1,1,22,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00023,router,1,1,,1,,,,,,1,1,1,23,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00024,router,1,1,,1,,,,,,1,1,1,24,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00025,router,1,1,,1,,,,,,1,1,1,25,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00026,router,1,1,,1,,,,,,1,1,1,26,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00027,router,1,1,,1,,,,,,1,1,1,27,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00028,router,1,1,,1,,,,,,1,1,1,28,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00029,router,1,1,,1,,,,,,1,1,1,29,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00030,router,1,1,,1,,,,,,1,1,1,30,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00031,router,1,1,,1,,,,,,1,1,1,31,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00032,router,1,1,,1,,,,,,1,1,1,32,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00033,router,1,1,,1,,,,,,1,1,1,33,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00034,router,1,1,,1,,,,,,1,1,1,34,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00035,router,1,1,,1,,,,,,1,1,1,35,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00036,router,1,1,,1,,,,,,1,1,1,36,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00037,router,1,1,,1,,,,,,1,1,1,37,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00038,router,1,1,,1,,,,,,1,1,1,38,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00039,router,1,1,,1,,,,,,1,1,1,39,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00040,router,1,1,,1,,,,,,1,1,1,40,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00041,router,1,1,,1,,,,,,1,1,1,41,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00042,router,1,1,,1,,,,,,1,1,1,42,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00043,router,1,1,,1,,,,,,1,1,1,43,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00044,router,1,1,,1,,,,,,1,1,1,44,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00045,router,1,1,,1,,,,,,1,1,1,45,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00046,router,1,1,,1,,,,,,1,1,1,46,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00047,router,1,1,,1,,,,,,1,1,1,47,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00048,router,1,1,,1,,,,,,1,1,1,48,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00049,router,1,1,,1,,,,,,1,1,1,49,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00050,router,1,1,,1,,,,,,1,1,1,50,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00051,router,1,1,,1,,,,,,1,1,1,51,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00052,router,1,1,,1,,,,,,1,1,1,52,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00053,router,1,1,,1,,,,,,1,1,1,53,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00054,router,1,1,,1,,,,,,1,1,1,54,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00055,router,1,1,,1,,,,,,1,1,1,55,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00056,router,1,1,,1,,,,,,1,1,1,56,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00057,router,1,1,,1,,,,,,1,1,1,57,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00058,router,1,1,,1,,,,,,1,1,1,58,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00059,router,1,1,,1,,,,,,1,1,1,59,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00060,router,1,1,,1,,,,,,1,1,1,60,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00061,router,1,1,,1,,,,,,1,1,1,61,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00062,router,1,1,,1,,,,,,1,1,1,62,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00063,router,1,1,,1,,,,,,1,1,1,63,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00064,router,1,1,,1,,,,,,1,1,1,64,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00065,router,1,1,,1,,,,,,1,1,1,65,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00066,router,1,1,,1,,,,,,1,1,1,66,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00067,router,1,1,,1,,,,,,1,1,1,67,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00068,router,1,1,,1,,,,,,1,1,1,68,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00069,router,1,1,,1,,,,,,1,1,1,69,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00070,router,1,1,,1,,,,,,1,1,1,70,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00071,router,1,1,,1,,,,,,1,1,1,71,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00072,router,1,1,,1,,,,,,1,1,1,72,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00073,router,1,1,,1,,,,,,1,1,1,73,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00074,router,1,1,,1,,,,,,1,1,1,74,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00075,router,1,1,,1,,,,,,1,1,1,75,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00076,router,1,1,,1,,,,,,1,1,1,76,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00077,router,1,1,,1,,,,,,1,1,1,77,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00078,router,1,1,,1,,,,,,1,1,1,78,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00079,router,1,1,,1,,,,,,1,1,1,79,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00080,router,1,1,,1,,,,,,1,1,1,80,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00081,router,1,1,,1,,,,,,1,1,1,81,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00082,router,1,1,,1,,,,,,1,1,1,82,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00083,router,1,1,,1,,,,,,1,1,1,83,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00084,router,1,1,,1,,,,,,1,1,1,84,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00085,router,1,1,,1,,,,,,1,1,1,85,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00086,router,1,1,,1,,,,,,1,1,1,86,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00087,router,1,1,,1,,,,,,1,1,1,87,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00088,router,1,1,,1,,,,,,1,1,1,88,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00089,router,1,1,,1,,,,,,1,1,1,89,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00090,router,1,1,,1,,,,,,1,1,1,90,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00091,router,1,1,,1,,,,,,1,1,1,91,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00092,router,1,1,,1,,,,,,1,1,1,92,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00093,router,1,1,,1,,,,,,1,1,1,93,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00094,router,1,1,,1,,,,,,1,1,1,94,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00095,router,1,1,,1,,,,,,1,1,1,95,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00096,router,1,1,,1,,,,,,1,1,1,96,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00097,router,1,1,,1,,,,,,1,1,1,97,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00098,router,1,1,,1,,,,,,1,1,1,98,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00099,router,1,1,,1,,,,,,1,1,1,99,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00100,router,1,1,,1,,,,,,1,1,1,100,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00101,router,1,1,,1,,,,,,1,1,1,101,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00102,router,1,1,,1,,,,,,1,1,1,102,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00103,router,1,1,,1,,,,,,1,1,1,103,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00104,router,1,1,,1,,,,,,1,1,1,104,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00105,router,1,1,,1,,,,,,1,1,1,105,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00106,router,1,1,,1,,,,,,1,1,1,106,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00107,router,1,1,,1,,,,,,1,1,1,107,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00108,router,1,1,,1,,,,,,1,1,1,108,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00109,router,1,1,,1,,,,,,1,1,1,109,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00110,router,1,1,,1,,,,,,1,1,1,110,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00111,router,1,1,,1,,,,,,1,1,1,111,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00112,router,1,1,,1,,,,,,1,1,1,112,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00113,router,1,1,,1,,,,,,1,1,1,113,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00114,router,1,1,,1,,,,,,1,1,1,114,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00115,router,1,1,,1,,,,,,1,1,1,115,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00116,router,1,1,,1,,,,,,1,1,1,116,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00117,router,1,1,,1,,,,,,1,1,1,117,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00118,router,1,1,,1,,,,,,1,1,1,118,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00119,router,1,1,,1,,,,,,1,1,1,119,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00120,router,1,1,,1,,,,,,1,1,1,120,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00121,router,1,1,,1,,,,,,1,1,1,121,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00122,router,1,1,,1,,,,,,1,1,1,122,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00123,router,1,1,,1,,,,,,1,1,1,123,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00124,router,1,1,,1,,,,,,1,1,1,124,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00125,router,1,1,,1,,,,,,1,1,1,125,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00126,router,1,1,,1,,,,,,1,1,1,126,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L001_W00127,router,1,1,,1,,,,,,1,1,1,127,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00000,router,1,1,,1,,,,,,1,1,2,0,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00001,router,1,1,,1,,,,,,1,1,2,1,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00002,router,1,1,,1,,,,,,1,1,2,2,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00003,router,1,1,,1,,,,,,1,1,2,3,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00004,router,1,1,,1,,,,,,1,1,2,4,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00005,router,1,1,,1,,,,,,1,1,2,5,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00006,router,1,1,,1,,,,,,1,1,2,6,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00007,router,1,1,,1,,,,,,1,1,2,7,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00008,router,1,1,,1,,,,,,1,1,2,8,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00009,router,1,1,,1,,,,,,1,1,2,9,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00010,router,1,1,,1,,,,,,1,1,2,10,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00011,router,1,1,,1,,,,,,1,1,2,11,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00012,router,1,1,,1,,,,,,1,1,2,12,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00013,router,1,1,,1,,,,,,1,1,2,13,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00014,router,1,1,,1,,,,,,1,1,2,14,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00015,router,1,1,,1,,,,,,1,1,2,15,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00016,router,1,1,,1,,,,,,1,1,2,16,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00017,router,1,1,,1,,,,,,1,1,2,17,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00018,router,1,1,,1,,,,,,1,1,2,18,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00019,router,1,1,,1,,,,,,1,1,2,19,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00020,router,1,1,,1,,,,,,1,1,2,20,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00021,router,1,1,,1,,,,,,1,1,2,21,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00022,router,1,1,,1,,,,,,1,1,2,22,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00023,router,1,1,,1,,,,,,1,1,2,23,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00024,router,1,1,,1,,,,,,1,1,2,24,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00025,router,1,1,,1,,,,,,1,1,2,25,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00026,router,1,1,,1,,,,,,1,1,2,26,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00027,router,1,1,,1,,,,,,1,1,2,27,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00028,router,1,1,,1,,,,,,1,1,2,28,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00029,router,1,1,,1,,,,,,1,1,2,29,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00030,router,1,1,,1,,,,,,1,1,2,30,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00031,router,1,1,,1,,,,,,1,1,2,31,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00032,router,1,1,,1,,,,,,1,1,2,32,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00033,router,1,1,,1,,,,,,1,1,2,33,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00034,router,1,1,,1,,,,,,1,1,2,34,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00035,router,1,1,,1,,,,,,1,1,2,35,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00036,router,1,1,,1,,,,,,1,1,2,36,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00037,router,1,1,,1,,,,,,1,1,2,37,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00038,router,1,1,,1,,,,,,1,1,2,38,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00039,router,1,1,,1,,,,,,1,1,2,39,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00040,router,1,1,,1,,,,,,1,1,2,40,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00041,router,1,1,,1,,,,,,1,1,2,41,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00042,router,1,1,,1,,,,,,1,1,2,42,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00043,router,1,1,,1,,,,,,1,1,2,43,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00044,router,1,1,,1,,,,,,1,1,2,44,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00045,router,1,1,,1,,,,,,1,1,2,45,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00046,router,1,1,,1,,,,,,1,1,2,46,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00047,router,1,1,,1,,,,,,1,1,2,47,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00048,router,1,1,,1,,,,,,1,1,2,48,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00049,router,1,1,,1,,,,,,1,1,2,49,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00050,router,1,1,,1,,,,,,1,1,2,50,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00051,router,1,1,,1,,,,,,1,1,2,51,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00052,router,1,1,,1,,,,,,1,1,2,52,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00053,router,1,1,,1,,,,,,1,1,2,53,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00054,router,1,1,,1,,,,,,1,1,2,54,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00055,router,1,1,,1,,,,,,1,1,2,55,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00056,router,1,1,,1,,,,,,1,1,2,56,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00057,router,1,1,,1,,,,,,1,1,2,57,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00058,router,1,1,,1,,,,,,1,1,2,58,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00059,router,1,1,,1,,,,,,1,1,2,59,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00060,router,1,1,,1,,,,,,1,1,2,60,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00061,router,1,1,,1,,,,,,1,1,2,61,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00062,router,1,1,,1,,,,,,1,1,2,62,128,Compact count-1 Beneš wire unit; upper/down flow=1.
R_m0001_L002_W00063,router,1,1,,1,,,,,,1,1,2,63,128,Compact count-1 Beneš wire unit; upper/down flow=1.
